,Account,Date,Text,Compound,Positive,Neutral,Negative
0,@BBC,2018-03-15 17:30:05+00:00,🎨🖼️ Meet the amazing 84-year-old who’s never had an art lesson but painted a life-size replica of a Canaletto maste… https://t.co/X39YxKuxKe,0.34,0.118,0.882,0.0
1,@BBC,2018-03-15 13:52:24+00:00,RT @BBCR1: .@CHVRCHES covering @The1975's 'Somebody Else' in the Live Lounge is so stunning 🌹 https://t.co/djNHaPKlLi,0.5214,0.194,0.806,0.0
2,@BBC,2018-03-15 13:00:05+00:00,"Tiny cookery. It's like regular cookery, but smaller. https://t.co/9Q0R2CiUVi",0.1901,0.179,0.821,0.0
3,@BBC,2018-03-15 12:00:16+00:00,"🚢🎞 Stars of the silver screen all at sea. 
📸👉 https://t.co/YJ7PzhblOE https://t.co/PnHxJNmeok",0.0,0.0,1.0,0.0
4,@BBC,2018-03-15 10:45:00+00:00,"BBC Economics Editor @bbckamal travels back to his old school to talk about real news, and it’s opposite, fake news… https://t.co/CAKG8AbVn8",-0.4767,0.0,0.866,0.134
5,@BBC,2018-03-15 10:26:48+00:00,RT @BBCr4today: Can you spot fake news? #BBCSchoolReport and John Humphrys are here to help... Play the game 👉 https://t.co/ulq1aviwP9 #r4t…,-0.1779,0.102,0.766,0.132
6,@BBC,2018-03-15 09:53:48+00:00,"RT @BBCR1: The bike is back.
The lycra is BACK.

@GregJames' #Gregathlon for @SportRelief is back on the road to Ben Nevis! Today's challen…",0.0,0.0,1.0,0.0
7,@BBC,2018-03-15 09:53:11+00:00,RT @BBCSpringwatch: 😍🐭 This adorable little wood mouse hit the jackpot when it came across this larder of tasty hedgehog food! Watch how it…,0.5411,0.132,0.868,0.0
8,@BBC,2018-03-15 09:50:25+00:00,RT @BBCTwo: 🆕 CONFIRMED: The final series of #Episodes starts Friday 30 March on @BBCTwo! @matt_leblanc @stephenmangan 📺🙌 https://t.co/PeBz…,0.0,0.0,1.0,0.0
9,@BBC,2018-03-15 09:00:08+00:00,Meet the Maasai woman standing up to female genital mutilation. https://t.co/CWUQB81bUz,0.0,0.0,1.0,0.0
10,@BBC,2018-03-15 08:30:08+00:00,"🧀🐮 A farm dairy in south west Scotland believes it is leading the way for what it describes as 'ethical' cheese.
👉… https://t.co/VyfVlaVR0u",0.0,0.0,1.0,0.0
11,@BBC,2018-03-15 08:00:04+00:00,🚇 When step-free access on London's Tube... isn't. https://t.co/62SPPru2ZP,0.0,0.0,1.0,0.0
12,@BBC,2018-03-14 21:14:04+00:00,"No coffee after 2pm, no lie-ins and no phones in the bedroom...

One woman followed all the rules to find out what… https://t.co/EoQcnBXGQ4",-0.6808,0.0,0.752,0.248
13,@BBC,2018-03-14 20:00:03+00:00,🛩️ The sky's the limit! https://t.co/eQgP9MDBCj,0.0,0.0,1.0,0.0
14,@BBC,2018-03-14 19:10:00+00:00,"“Remember to look up at the stars and not down at your feet.”

An extraordinary man whose work and legacy will live… https://t.co/iM2vDxd8ET",0.0,0.0,1.0,0.0
15,@BBC,2018-03-14 19:04:03+00:00,Britain's most iconic dog is in crisis. Catherine Tate investigates the serious health problems affecting the Briti… https://t.co/pnTcQIQAi5,-0.7964,0.0,0.649,0.351
16,@BBC,2018-03-14 18:30:00+00:00,"🔊😵 This is trippy. 

#TonesDronesAndArpeggios | Watch on @BBCiPlayer https://t.co/Ylvgi0X3XV",0.0,0.0,1.0,0.0
17,@BBC,2018-03-14 17:30:00+00:00,Would you use a cup made of used chewing gum? https://t.co/3yFsUyeZAc,0.0,0.0,1.0,0.0
18,@BBC,2018-03-14 16:43:32+00:00,RT @BBCR1: Big thanks to #PiDay for giving us an excuse to re-share this video of Tom Hiddleston making it sound sexy 😍 https://t.co/1VZuCI…,0.8402,0.345,0.655,0.0
19,@BBC,2018-03-14 16:20:43+00:00,"RT @BBCTwo: In a change to tonight’s schedule, we’ll now be showing a Horizon special from 1983 looking at Stephen Hawking's extraordinary…",0.4019,0.124,0.876,0.0
20,@BBC,2018-03-15 17:30:05+00:00,🎨🖼️ Meet the amazing 84-year-old who’s never had an art lesson but painted a life-size replica of a Canaletto maste… https://t.co/X39YxKuxKe,0.34,0.118,0.882,0.0
21,@BBC,2018-03-15 13:52:24+00:00,RT @BBCR1: .@CHVRCHES covering @The1975's 'Somebody Else' in the Live Lounge is so stunning 🌹 https://t.co/djNHaPKlLi,0.5214,0.194,0.806,0.0
22,@BBC,2018-03-15 13:00:05+00:00,"Tiny cookery. It's like regular cookery, but smaller. https://t.co/9Q0R2CiUVi",0.1901,0.179,0.821,0.0
23,@BBC,2018-03-15 12:00:16+00:00,"🚢🎞 Stars of the silver screen all at sea. 
📸👉 https://t.co/YJ7PzhblOE https://t.co/PnHxJNmeok",0.0,0.0,1.0,0.0
24,@BBC,2018-03-15 10:45:00+00:00,"BBC Economics Editor @bbckamal travels back to his old school to talk about real news, and it’s opposite, fake news… https://t.co/CAKG8AbVn8",-0.4767,0.0,0.866,0.134
25,@BBC,2018-03-15 10:26:48+00:00,RT @BBCr4today: Can you spot fake news? #BBCSchoolReport and John Humphrys are here to help... Play the game 👉 https://t.co/ulq1aviwP9 #r4t…,-0.1779,0.102,0.766,0.132
26,@BBC,2018-03-15 09:53:48+00:00,"RT @BBCR1: The bike is back.
The lycra is BACK.

@GregJames' #Gregathlon for @SportRelief is back on the road to Ben Nevis! Today's challen…",0.0,0.0,1.0,0.0
27,@BBC,2018-03-15 09:53:11+00:00,RT @BBCSpringwatch: 😍🐭 This adorable little wood mouse hit the jackpot when it came across this larder of tasty hedgehog food! Watch how it…,0.5411,0.132,0.868,0.0
28,@BBC,2018-03-15 09:50:25+00:00,RT @BBCTwo: 🆕 CONFIRMED: The final series of #Episodes starts Friday 30 March on @BBCTwo! @matt_leblanc @stephenmangan 📺🙌 https://t.co/PeBz…,0.0,0.0,1.0,0.0
29,@BBC,2018-03-15 09:00:08+00:00,Meet the Maasai woman standing up to female genital mutilation. https://t.co/CWUQB81bUz,0.0,0.0,1.0,0.0
30,@BBC,2018-03-15 08:30:08+00:00,"🧀🐮 A farm dairy in south west Scotland believes it is leading the way for what it describes as 'ethical' cheese.
👉… https://t.co/VyfVlaVR0u",0.0,0.0,1.0,0.0
